COD_RH; COD_PRODUCTO; COD_TIPO_PRODUCTO; NOMPRE_PRODUCTO; COD_TIPO_EVENTO; EVENTO_ASOCIADO; DATOS_COMPLEMENTARIOS; LUGAR; AÑO; AMBITO; PALABRAS_CLAVE; ÁREAS; SECTORES; COAUTORES; VINCULA_COAUTORES; EDITORIAL; VOLUMEN; PAGINAS; DOI; FINALIDAD; INSTITUCIONES_ASOCIADAS; TIPO_VINCULACION_INSTITUCION
0000228958;62;2;A new montecarlo method to simulate electrical discharge in gasesin nonuniform field;1;2002 Annual Report Conference on Electrical Insulation and Dielectric Phenomena;;Cancun Quintana Roo México;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;63;2;Obtaining the electrical parameters of the predischarge in air by using digitized voltage waveforms;1;2002 Annual Report Conference on Electrical Insulation and Dielectric Phenomena;;Cancun Quintana Roo México;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;64;2;Experimental Study of conventional metalOxide distribution surge arresters with an intentionally connected series gap;6;International Symposium on High Voltage Engineering;;Delf Netherlands 2003;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;65;2;A new method to obtain the degradation of surge arresters using an Extra High Impedance DC Current Source;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;66;2;Calculation of corona onset voltages using a microscopic Monte Carlo simulation method;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;67;2;Response of Low Voltage Protective Devices under subsequent strokelike impulse currents;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;68;2;Varistor Response under Subsequent StrokeLike impulse currents;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;69;2;Calculation of the Corona onset using a macroscopic Monte Carlo simulation method;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;70;2;Adding negative Corona Currents produced by independent electrodes in a Cylindrical Coaxial Configuration;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;71;2;Experimental study of conventional metal  oxide distribution surge arresters with an intentionally connected series gap;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;72;2;Influence of humidity on the breakdown voltage of a spheresphere gap at the 2 600 M OSL;6;XIIIth International Symposium on high Voltage Engineering;;Delf;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;73;2;Influence of humidity on the breakdown voltage of a sphere  sphere gap at 2600 m osl;5;International Seminar on High Voltage Engineering;;Delf Holanda;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;74;2;Digital Parameter Identification for MetalOxide Surge Arrester Models;6;VII SIPDA VII international Symposium on Lightning Discharges;;Curitiva Brasil;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;75;2;Distribution surge arresters damages on Colombian 15kV networks Study case Electrical Company CODENSA SA ESP;6;VII SPIDA International Symposium on Lightning Discharges;;Curitiva;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;76;2;Teoría de las descargas eléctricas en gases;1;Curso de Actualización en Alta Tensión;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;77;2;Medidas de Alta Tensión;1;Curso de Actualización en Alta Tensión;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;78;2;Medidas y Pruebas en Alta Tensión;1;Curso de Actualización en Alta Tensión;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
0000228958;79;2;Investigaciones Básicas para el prediseño de un Laboratorio de Alta Tensión con fines hacia la Docencia la Industria y la Investigación;1;I Jornada sobre Transmisión y Distribución de Energía Eléctrica ACIEM;;BOGOT DC;;;;;;FRANCISCO JOSE ROMAN CAMPOS;Asistente;;;;;;;;
