COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000105260;9;Organizador y Coordinador del Nodo de Investigadores Colombianos de la Red Caldas (programa de Colciencias) en la Federación de Rusia;;1994;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000105260;10;Evaluador en Convocatorias en Desarrollo Tecnológico;;2001;Innovación y Calidad,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000105260;11;Jurado de Convocatorias del programa Nacional de Biotecnología;;2001;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000105260;12;Evaluador del Programa Nacional de Biotecnología ¿ Colciencias;;2001;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000105260;13;Jurado de la convocatoria de Colciencias para las empresas jóvenes en ExpoHanover ¿ 2000;;2000;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000105260;14;Pasantía de tres meses en la Universidad de Leipzig - Alemania en representación de la Universidad Estatal de Moscú para la realización de investigaciones conjuntas en Biotecnología;Alemania en representación;la Universidad Estatal de Moscú para la realización de investigaciones conjuntas en Biotecnología,UNIVERSIDAD ESTATAL DE MOSCU - de 1994;;
0000105260;15;Organizador y coordinador del I seminario latinoamericano de ciencias puras y aplicadas en Moscú;;1994;UNIVERSIDAD ESTATAL DE MOSCU;
0000105260;16;Representante oficial por Colombia en el Primer congreso para la Cooperación Científica y Comercial entre los Países Latinoamericanos y la Federación de Rusia;;1995;San Peterburgo,;
0000105260;17;Creador de la Revista Colombiana de Biotecnología;;1997;;
0000105260;18;Jurado de la convocatoria de Colciencias para las empresas jóvenes en ExpoHanover - 2000;2000, -;2000;;
0000105260;19;Par Académico en revistas científica indexadas nacionales e internacionales;;2005;;
0000105260;20;Creador de la Revista Colombiana de Biotecnología durante 1997;;1997;;
0000105260;21;Jurado de los concursos Nacionales de Ingeniería Química para tesis de grado y grupos de trabajo 1996;;1996;1997, 2001,;
0000105260;22;Codirector de dos tesis de pregrado y dos trabajos doctorales;;1993;;
0000105260;23;Par Académico;;2002;CONSEJO NACIONAL DE ACREDITACION;
0000105716;1;Mención especial por dirección de trabajo de grado Premio nacional de ingeniería química;;2000;;
0000105872;1;Mejor trabajo de grado;;1995;UNIVERSIDAD NACIONAL VICERECTORIA ACADEMICA;
0000105899;1;Investigación Meritoria;Septiembre;2017;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000105899;2;X Premio Nacional de Ingeniería Química al Mejor trabajo de Posgrado;Noviembre;2014;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA DE COLOMBIA;
0000105899;3;Mención Meritoria;Agosto;2009;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000105899;4;Academía Integral Meritoria 2002-2007;007,FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA -;2007;;
0000105899;5;Mención Meritoria. Tesis de Maestría;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000105899;6;Mención Laureada. Tesis Doctoral;;2006;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000105902;1;PREMIO AL MEJOR TRABAJO CIENTÍFICO PRESENTADO EN EL CONGRESO LATINOAMERICANO E IBÉRICO DE QUÍMICOS COSMÉTICOS XVIII COLAMIQC;;2007;COLAMIQC;
0000105902;2;Destacada labor académica durante el año 1998;Diciembre;1998;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000105902;3;Investigación Meritoria;;2008;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000105910;1;Beca - Desarrollo de Actividades de investigación y desarrollo en Pfizer;Desarrollo;Actividades de investigación y desarrollo en Pfizer,PFIZER GLOBAL RESEARCH AND DEVELOPMENT - Juniode 2006;;
0000105910;2;Beca de Estudios de Doctorado;;2002;FULBRIGHT DNP COLCIENCIAS;
0000105910;3;Beca estudios de posgrado;;1993;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000105929;1;MERITORIA;Febrero;2010;;
0000105929;2;Premio Nacional al Mejor Trabajo de grado (codirector de tesis);;2004;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000105929;3;Premio Nacional al mejor trabajo de grado (Director de tesis);;2000;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA;
0000105929;4;Premio a la Docencia Excepcional;;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000106070;1;mención meritoria tesis de doctorado en ingenieria quimica;Mayo;2009;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000106089;1;Mención Excelencia Académica;Septiembre;1994;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000106089;2;Mención Meritoria Trabajo de grado pregrado;Abril;1994;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000106089;3;Mencion Meritoria Tesis de Maestría;Enero;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000141984;1;Tercer Lugar Concurso Otto de Greiff Mejores Trabajos de Grado V. 19. Area III: Tecnologías Apropiadas. Estudiante dirigido Pedro Felipe Arboleda Obando;Diciembre;2015;CONCURSO NACIONAL OTTO DE GREIFF;
0000141984;2;Mejor Proyecto de Grado Ingeniería Civil. Trabajo dirigido al estudiante Pedro Felipe Arboleda Obando;Agosto;2015;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
