COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000656984;1;Promoción de Docente Asistente a Docente Asociada. Resol. de Consejo de Sede 361 de 2012;Octubre;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000656984;2;Nombramiento como Vicedecana de Investigación y Extensión de Ingeniería - Resol. Decanatura 2473 del 5 de Septiembre de 2012;Resol. Decanatura 2473 del 5;Septiembre de 2012,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Septiembrede 2012;;
0000672610;1;Best Paper;Octubre;2015;;
0000672610;2;Tesis Doctoral Laureada;Diciembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000672610;3;Graduate Dean's Citation;;2005;UNIVERSITY OF LOUISVILLE;
0000674915;1;Grado de Honor de la Facultad de Ingeniería;;2007;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000674915;2;Beca de Postgrado;;2007;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000675067;1;Distinción a la Investigación Meritoría 2014;Septiembre;2014;Facultad de Ingeniería, Universidad Nacional de Colombia,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000675067;2;Tesis Doctoral con Mención Honorífica;;2005;UNAM;
0000675067;3;Premio Mejor Tesis Doctoral Certamen Nacional 2006 en el área de Ciencia e Ingeniería de Materiales;;2006;IIM UNAM;
0000675067;4;Beca para participar en el Tercer curso Latinoamericano de Procesamiento de Materiales por Plasma en Argentina.;;2000;JICA CNEA;
0000675067;5;Beca para participar en el tercer curso internacional de ensayos no destructivos;;2007;CIDESI JICA;
0000675067;6;Beca Doctoral;;2005;SRE CONACYT Y UNAM DE MEXICO;
0000675067;7;Beca para pasantia en Materiales Compuentos en Universidad Complutense de Madrid-España.;spaña.,PROGRAMA DE COOPERACION INTERUNIVERSITARIA ESTUDIANTES A L E -;2001;;
0000675067;8;PREMIO A LA MEJOR TESIS DE DOCTORADO 2006;;2006;SOCIEDAD MEXICANA DE CIENCIA Y TECNOLOGIA DE SUPERFICIES Y MATERIALES;
0000675067;9;Beca para participar en el cuarto curso internacional de robótica;Septiembre;2008;CENTRO NACIONAL DE ACTUALIZACION DOCENTE;
0000689696;1;TESIS MERITORIA;Abril;2017;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000689696;2;BECA PARA ESTUDIOS DE DOCTORADO EN COLOMBIA (CON 528 2011);Noviembre;2011;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000689696;3;BECA JOVEN INVESTIGADOR 2009;Abril;2009;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000689696;4;BECA A ESTUDIANTE SOBRESALIENTE DE PREGRADO;Julio;2008;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000689696;5;TESIS MERITORIA;Diciembre;2010;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000689696;6;PREMIO ANDRES BELLO EN HISTORIA;Diciembre;2002;ICFES;
0000689696;7;PREMIO ANDRES BELLO EN FILOSOFIA;Diciembre;2002;ICFES;
0000689696;8;GRADO DE HONOR;Marzo;2007;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000693073;1;Docencia excepcional;;2001;UNIVERSIDAD NACIONALN DE COLOMBIA;
0000696617;1;Becario Programa Estudiantes Sobresalientes de Posgrado Universidad Nacional de Colombia;Marzo;2006;;
0000718564;1;ACADEMIA INTEGRAL MERITORIA;Noviembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA;
0000722065;1;Scholarship as Graduate Research Assitant;Septiembre;2009;THE UNIVERSITY OF AKRON;
0000722065;2;Coimbra Group Scholarship for Young Professors and Researchers from Latin American Universities;Mayo;2013;LEIDEN UNIVERSITY;
0000722065;3;Beca Colciencias - Convocatoria Nacional para Estudios de Doctorado en Colombia;Convocatoria Nacional para Estudios;Doctorado en Colombia,UNIVERSIDAD NACIONAL DE COLOMBIA COLCIENCIAS - Enerode 2013;;
0000722340;1;BACHILLERES POR COLOMBIA MARIO GALÁN GÓMEZ;Agosto;2000;EMPRESA COLOMBIANA DE PETROLEOS ECOPETROL;
0000722340;2;CAMPEÓN DEPARTAMENTAL DE ORTOGRAFÍA COLOMBIA BIEN ESCRITA;Noviembre;1999;FUNDACION HISPANOAMERICA BIEN ESCRITA;
0000722340;3;DISTINCIÓN ANDRÉS BELLO CATEGORÍA DEPARTAMENTAL;Noviembre;1999;INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR ICETEX;
0000722340;4;Ingeniería Catastral y Geodesta;;2006;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000722383;1;Excellent Cum Laude a Tesis Doctoral;Junio;2017;UNIVERSITAT POLITECNICA DE CATALUNYA;
0000745758;1;Beca de la Dirección General de Estudios de Posgrado;Enero;2003;UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO;
0000745758;2;Becaria de la Sección de Estructuras.;Enero;1989;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000745758;3;Matrícula de Honor y Exención de pago de derechos de matrícula;Enero;1989;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000745758;4;Beca académica por alto rendimiento académico;Enero;1989;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000745758;5;-	Beca del Consejo Nacional de Ciencia y Tecnología de México-CONACYT para apoyo a la realización de estudios de doctorado;Beca del Consejo Nacional;Ciencia y Tecnología de México-CONACYT para apoyo a la realización de estudios de doctorado,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO - Enerode 2012;;
0000745758;6;Docencia Excepcional;Enero;1999;UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE INGENIERIA;
0000745758;7;Primer Premio al Proyecto de Grado;;1989;ASOCIACION DE INGENIEROS CIVILES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000747122;1;Mención de Honor;;2005;II CONGRESO COLOMBIANO DE BIOTECNOLOGIA E INGENIERIA BIOMEDICA;
0000747122;2;Proyecto de grado laureado;;2002;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0000747998;1;Programa de Formacion de Alto Nivel de Colciencias;Junio;2014;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000747998;2;Segundo lugar nivel avanzado - IV Olimpiada Universitaria de Circuitos Eléctricos;IV Olimpiada Universitaria;Circuitos Eléctricos,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Abrilde 2002;;
0000747998;3;Primer puesto grupos - IV Olimpiada Universitaria de Circuitos Electricos;IV Olimpiada Universitaria;Circuitos Electricos,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Abrilde 2002;;
0000747998;4;Beca por rendimiento academico Maestria en Ingenieria - Automatizacion Industrial;Automatizacion Industrial,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Febrero;2006;;
0000747998;5;Beca por rendimiento academico Ingenieria Electronica;Febrero;2001;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000773093;1;Tesis Meritoria;Junio;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000773093;2;Beca de estudios para Docotorado;;2003;ALBAN;
0000773093;3;Beca de corta duración;;2005;FUNDACAO CALOUSTE GULBENKIAN;
0000773093;4;Beca de estudio para Doctorado;;2005;FUNDACAO PARA A CIENCIA E A TECNOLOGIA;
0000773093;5;Beca de estudios para Maestria;;2001;CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO Y TECNOLOGICO;
0000811017;1;Fulbright Visiting Scholar;Febrero;2011;COMISION FULBRIGHT;
0000811017;2;Mejor Articulo Internacional;;2005;SICE JAPON;
0000811017;3;Shell Centenary Scholarship Award;;2002;SHELL COLOMBIA;
0000811017;4;Overseas Reaserch Student Award;;2003;UK HIGHER EDUCATION FUNDING BODIES;
0000855847;1;Sobresaliente. Cum Laude. Evaluación de Tesis Doctoral.;Julio;2016;UNIVERSIDAD POLITECNICA DE VALENCIA;
0000855847;2;Carácter Laureado;Julio;2017;UNIVERSIDAD SANTO TOMAS;
0000855847;3;Carácter meritorio;Julio;2017;UNIVERSIDAD SANTO TOMAS;
0000855847;4;Carácter meritorio;Enero;2009;;
0000855847;5;Máxima nota 5.0/5.0| con carácter meritorio;C.,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS - Agosto;2006;en la evaluación final del Proyecto de Grado: Análisis, diseño e implementación de un Control Neuronal de un Conversor DC;
0000855847;6;Beca de apoyo económico para la realización de proyecto de Investigación ¿MODELO COGNITIVO INSPIRADO EN INMUNOLOGÍA DE UN SISTEMA MULTIAGENTE PARA LA CLASIFICACIÓN Y TRASPORTE DE OBJETOS¿. Vicerrectoría de Investigación;Enero;2008;de la sede Bogotá, Universidad Nac,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000855847;7;Mejor Puntaje ICFES de la promoción;Diciembre;1997;372/400. ,COLEGIO CAMILO TORRES;
0000855847;8;Carácter meritorio;Enero;2009;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000855847;9;Docente Mejor Evaluado. Periodo 2009-II. Facultad de Ingeniería;I. Facultad;Ingeniería,UNIVERSIDAD ECCI - Enerode 2010;;
0000855847;10;Excelencia Académica;Diciembre;2009;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000855847;11;Reconocimiento Rama Estudiantil IEEE;Noviembre;2009;Universidad Distrital Francisco José de Caldas, por las actividades desarrolladas por la Rama Estudiantil y sus Capítulos Técnicos durante el 2009.,RAMA ESTUDIANTIL IEEE DE LA UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000855847;12;Excelencia Académica;Septiembre;2010;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000855847;13;Beca Generación del Bicentenario Para Estudios de Doctorado en el Extranjero;Diciembre;2011;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000871478;1;Dirección Mejor Trabajo de Grado en Ingeniería Química 2017 - Región Central;Región Central,CONSEJO PROFESIONAL DE INGENIERIA QUIMICA DE COLOMBIA - Noviembre;2017;;
0000871478;2;Distinción de Investigación Meritoria;Septiembre;2015;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000871478;3;Distinción en Docencia Excepcional;Septiembre;2016;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000871478;4;Most downloaded articles for the paper Control of an extractive distillation process to dehydrate ethanol using glycerol as entrainer;Noviembre;2013;ELSEVIER SCIENCE;
0000871478;5;Tesis Meritoria de Doctorado;Septiembre;2014;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000895342;1;Beca Doctorado Estudiantes sobresalientes de postgrado;Febrero;2007;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000895342;2;SEGUNDO MEJOR TRABAJO EN CIENCIAS COSMETICAS;Octubre;2010;ASOCIACION COLOMBIANA DE CIENCIA Y TECNOLOGIA COSMETICA;
0000895342;3;Alternativas para la disposición de un residuo sólido.;Diciembre;1999;ALFAGRES S A;
0000912115;1;Mejor Bachiller de Pasto;;2003;CLUB ROTARIO;
0000912115;2;Andres Bello departamental puntaje Icfes en Física;;2003;MINISTERIO DE EDUCACION;
0000912115;3;Andres Bello departamental puntaje Icfes en Quimica;;2003;MINISTERIO DE EDUCACION;
0000912115;4;Mejor Puntaje de Admisión Ingeniería Electrónica;;2003;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000920045;1;Mención de excelencia académica;Mayo;2017;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0000941263;1;BECA FUNDACION CAROLINA;;2002;GOBIERNO ESPANOL FUNDACION CAROLINA;
0000941263;2;PRIMER PUESTO;;1999;SEGUNDO CONCURSO DE ENSAYOS EN ADMINISTRACION,UNIVERSIDAD NACIONAL DE COLOMBIA F C E GRUPO LIDERA;
0000941263;3;PRIMER PUESTO;;1988;PRIMER CONCURSO DE ENSAYOS EN ADMINISTRACIÓN.,UNIVERSIDAD NACIONAL DE COLOMBIA FACULTAD DE CIENCIAS ECONOMICAS F C E GRUPO LIDERA;
0000941263;4;MONOGRAFIA MERITORIA;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000941263;5;CONCURSO MEJORES TRABAJOS DE GRADO X VERSION;;2000;2do LUGAR,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000948780;1;Apoyo a tesis de Posgrado;Diciembre;2008;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000953423;1;Tesis de grado meritoria;Septiembre;2006;FUNDACION UNIVERSIDAD DE AMERICA;
0000987360;1;Colaborador Honorario;Octubre;2013;UNIVERSIDAD REY JUAN CARLOS;
0001003542;1;Premio ACIEM a la ingeniería Colombiana;;1988;ACIEM;
0001006584;1;Mensión de Tesis de Maestría Meritoria;;2008;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001024965;1;BECA PARA ESTUDIO Y MANUTENCION DE PREGRADO EN INGENEIRIA ELECTRICA;Enero;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001024965;2;Beca para la realizaciòn de estudios doctorales;Agosto;2003;SERVICIO DE INTERCAMBIO ACADEMICO ALEMAN;
0001027948;1;Tesis Doctoral Sobresaliente Cum Laude;;2005;UNIVERSIDAD POLITECNICA DE CATALUNA;
0001050524;1;Beca de Posgrado en el Programa de Magister en Ingeniería de Sistemas Universidad Nacional de Colombia;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001062581;1;Obtención de la Beca mixta FCT del gobierno Portugues (SFRH/BD/16616/2004);Octubre;2004;FUNDACAO PARA A CIENCIA E A TECNOLOGIA;
0001062581;2;Obtención de la Beca CAPES del gobierno Brasilero;Marzo;2001;COORDENACAO DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUPERIOR;
0001062581;3;Obtención de la Beca UNESCO para la investigación en Ciencias Biológicas;Octubre;2004;UNESCO ORGANIZACION DE LAS NACIONES UNIDAS PARA LA EDUCACION LA CIENCIA Y;
0001062581;4;Obtención de la Beca Alban (Becas de alto nivel para estudiantes latinoamericanos) de la Comunidad Economica Europea;Octubre;2004;PROGRAMA ALBAN;
0001062581;5;Tesis Doctoral con Distinción;Septiembre;2010;UNIVERSIDADE DO PORTO;
0001062581;6;Por la contribucion al Departamento de Ingenieria Quimica en la Unviersidad Nacional;;1999;FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0001064100;1;docente sobresaliente;Diciembre;2011;UNIVERSIDAD LA GRAN COLOMBIA SEDE BOGOTA;
0001064100;2;BECA ESTUDIANTE INTERCAMBIO DE INGENIERIA CIVIL;Noviembre;2007;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA UPTC SEDE TUNJA;
0001064100;3;BECA DE TRABAJO;Agosto;2005;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA UPTC SEDE TUNJA;
0001064100;4;ESTUDIANTES SOBRESALIENTES DE POSGRADO;Agosto;2010;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001064100;5;BECA MONITOR DE LABORATORIOS DE GEOTECNIA UPTC;Enero;2009;UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA UPTC SEDE TUNJA;
0001064100;6;Tecnico en Topografia;;2004;INSTITUTO TECNICO DE BOYACA;
0001069810;1;Distinción Tesis de Investigación Meritoria Maestría en Ingeniería Industrial;Diciembre;2013;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001069810;2;Excelencia Académica por evaluación del desempeño docente;Septiembre;2006;UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS;
0001083929;1;Philip Pauly Publication Prize;Noviembre;2013;HISTORY OF SCIENCE SOCIETY;
0001083929;2;Mención de honor;Octubre;2013;Premios Fundación Alejandro Ángel Escobar,FUNDACION ALEJANDRO ANGEL ESCOBAR;
0001083929;3;University Fellowship;adison,UNIVERSIDAD DE WISCONSIN MADISON - Febrero;2006;Universidad de Wisconsin;
0001083929;4;Colciencias-Beca para estudios de doctorado;eca para estudios;doctorado,DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS - Enerode 2002;;
0001083929;5;Fondo de Apoyo a Investigación;Febrero;2007;CESO, Universidad de los Andes,UNIVERSIDAD DE LOS ANDES UNIANDES;
0001083929;6;Magna Cum Laude en Historia;;2001;UNIVERSIDAD DE LOS ANDES UNIANDES;
0001085468;1;Becario de la Fundación Carolina (España) 2004-2006;006,FUNDACION CAROLINA ESPANA -;2004;;
0001085468;2;Tesis Meritoria. Maestria en Ciencias Económicas. Especialización en Administración.;;1998;UNIVERSIDAD SANTO TOMAS;
0001085468;3;Beca de posgrado de la Universidad Nacional de Colombia para la realización de estudios de posgrado.;;1995;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001092553;1;MAESTRO UNIVERSITARIO;;1995;CONSEJO SUPERIOR UNIVERSITARIO;
0001092553;2;Primera Mención de Honor;;1990;PRIMER SIMPOSIO NACIONAL DE LUBRICACION ACIEM;
0001092553;3;Escudo como MIEMBRO HONORARIO;;1999;UNIVERSIDAD DE LOS ANDES ULA DE MERIDA VENEZUELA;
0001092553;4;Segundo Premio MVA a la Ingeniería de Mantenimiento;;1984;TERCERAS JORNADAS NACIONALES DE INGENIERIA DE MANTENIMIENTO ACIEM;
0001092553;5;MEJOR CONFERENCISTA;;2002;ASISTENTES AL IV CONGRESO INTERNACIONAL DE MANTENIMIENTO ORGANIZADO POR ACIEM;
0001092553;6;MEJOR CONFERENCISTA;;2000;ASISTENTES AL III CONGRESO INTERNACIONAL DE MANTENIMIENTO ORGANIZADO POR ACIEM;
0001092553;7;DOCENCIA EXCEPCIONAL;;1999;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001092553;8;Proyecto de grado para optar al título de Ingeniero Mecánico. Calificación: MERITORIO.;;1974;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001092553;9;Maestro Universitario;;1995;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001105426;1;Mejor Bachiller;;2000;COLEGIO DISTRITAL SAN FRANCISCO;
0001144693;1;Mejor Articulo Modalidad Ludica Conexion Iddeal V encuentro de la red IDDEAL;Agosto;2016;UNIVERSIDAD INDUSTRIAL DE SANTANDER UIS;
0001148885;1;Certificate of Appreciation;Septiembre;2008;CHILDHOOD CANCER ASSOCIATION;
0001148885;2;Matrícula de Honor. Mejor estudiante de Ingeniería Civil;Junio;2006;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001181270;1;segundo puesto en los examenes de calidad de educacion superior;;2008;ICFES;
0001181270;2;primer puesto en los examenes de admision en la carrera de quimica;;2002;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001223453;1;Mención Excelencia Académica en la modalidad Investigación Destacada;Octubre;2013;UNIVERSIDAD CENTRAL;
0001223453;2;Matrícula de honor y beca completa por mejor desempeño académico institucional grado séptimo;Diciembre;1984;INSTITUTO MARQUES DE SAN JORGE;
0001223453;3;Mejor Bachiller;Noviembre;1988;INSTITUTO MARQUES DE SAN JORGE;
0001223453;4;Matrícula de honor y beca completa por mejor desempeño académico institucional grado sexto;Diciembre;1983;INSTITUTO MARQUES DE SAN JORGE;
0001223453;5;Condonación 100% del beneficio préstamo beca por alto rendimiento académico durante estudios de pregrado en Ingeniería Agrícola;Diciembre;2001;UNIVERSIDAD NACIONAL COLOMBIA;
0001223453;6;Mejor ICFES - Municipio de Funza;Municipio;Funza,ALCALDIA MUNICIPAL DE FUNZA - Diciembrede 1988;;
0001223453;7;Mención Excelencia Académica en la modalidad Extensión con Impacto Social;Octubre;2015;UNIVERSIDAD CENTRAL;
0001223453;8;Primer puesto entre graduados en Ingeniería Agrícola;Diciembre;1996;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001223453;9;Matrícula de honor y beca completa por mejor desempeño académico institucional grado octavo;Diciembre;1985;INSTITUTO MARQUES DE SAN JORGE;
0001223453;10;Matrícula de honor y beca completa por mejor desempeño académico institucional grado noveno;Diciembre;1986;INSTITUTO MARQUES DE SAN JORGE;
0001223453;11;Matrícula de honor y beca completa por mejor desempeño académico institucional grado décimo;Diciembre;1987;INSTITUTO MARQUES DE SAN JORGE;
0001223453;12;Mención Meritoria - Trabajo de tesis;Trabajo;tesis,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Octubrede 2002;;
0001231790;1;Mención de Excelencia Académica;Mayo;2007;ESCUELA TECNOLOGICA INSTITUTO TECNICO CENTRAL;
0001240633;1;Joven Investigador Convocatoria Colciencias 2009;Marzo;2010;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0001240633;2;Beca doctorado nacionales convocatoria 528;Agosto;2012;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0001240633;3;Segundo puesto Primera Olimpiada de Termodinámica;;2006;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001242300;1;Beca Estudiantes Sobresalientes de Posgrado;Enero;2010;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001246089;1;Grado de Honor;;2002;INEM LUIS LOPEZ DE MESA;
0001246089;2;Beca de Honor en Ingeniería de Sistemas;;2002;UNIVERSIDAD DE LOS LLANOS UNILLANOS;
0001246089;3;Grado de Honor en Ingeniería Química;Diciembre;2008;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001246089;4;Mención¨ANDRÉS BELLO en el área de Química;;2002;INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION;
0001246089;5;Mención ANDRÉS BELLO en el área de Historia;;2002;INSTITUTO COLOMBIANO PARA LA EVALUACION DE LA EDUCACION;
0001250035;1;Por la destacada labor para el desarrollo e impulso de Programas de Gestión y Eficiencia energética en nuestra región;Agosto;2011;a nivel nacional e internacional.,LOS GRUPOS DE INVESTIGACION DE LA REGION DEL VALLE DEL CAUCA;
0001250248;1;SCS DSM Prize for the best poster in Analytical Chemistry seccion of SCS Fall Meeting 2011;Septiembre;2011;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;
0001250248;2;Tesis de Maestria con Distincion Meritoria;Junio;2011;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001251139;1;Richard J. Kokes Student Travel Award;;2001;NORTH AMERICAN CATALYSIS SOCIETY;
0001251139;2;Richard J. Kokes Student Travel Award;;2003;NORTH AMERICAN CATALYSIS SOCIETY;
0001251139;3;Pan-American Advanced Study Institute Workshop Fellowship;merican Advanced Study Institute Workshop Fellowship,CONSORTIUM OF THE AMERICAS FOR INTERDISCIPLINARY SCIENCE -;2002;;
0001251139;4;Programa CATALISE-ALFA;LFA,UNION EUROPEA -;1999;;
0001251139;5;Beca Académica;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001251139;6;Tesis Meritoria;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001256084;1;Reconocimiento institucional por el compromiso y excelente desempeño profesoral en el programa de administración de empresas.;Noviembre;2008;FUNDACION UNIVERSITARIA DE SAN GIL UNISANGIL;
0001256084;2;Unisangil Escribe 2011;Noviembre;2010;FUNDACION UNIVERSITARIA DE SAN GIL UNISANGIL;
0001285092;1;Mención Internacional;Febrero;2015;UNIVERSITAT POLITECNICA DE CATALUNYA;
0001285092;2;Mención Cum Laude;Febrero;2015;UNIVERSITAT POLITECNICA DE CATALUNYA;
0001292340;1;Distinción como uno de los mejores docentes del Departamento de Ingeniería Eléctrica;;1990;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001292340;2;Docencia Exepcional;;2003;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001333865;1;Mención Meritoria - Tesis de Doctorado;Tesis;Doctorado,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL - Diciembrede 2012;;
0001337259;1;STEM doctoral fellowship;Junio;2011;THE UNIVERSITY OF TEXAS AT ARLINGTON;
0001343767;1;Mención de Honor;Noviembre;2006;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001353347;1;Distinción Laureada a la Tesis de Doctorado;Noviembre;2016;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001353347;2;Beneficiario de la ¿Convocatoria Nacional para estudios de Doctorado en Colombia año 2012 Conformación de un Banco de Elegibles¿ de Colciencias;Diciembre;2012;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0001353347;3;Matricula de honor otorgado por el consejo de facultad de Ingeniería para el periodo 2007-03;3,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Julio;2007;;
0001353347;4;Sexto mejor ECAES en Ingeniería Química 2008;Marzo;2009;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001353347;5;Beneficiario del programa de formación de investigadores Generación del Bicentenario del programa de jóvenes investigadores e innovadores ¿Virginia Gutiérrez de Pineda¿;Diciembre;2009;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0001358805;1;PREMIO AL III CONCURSO DE TESIS DOCTORALES SOBRE TECNOLOGIA PARA EL DESARROLLO EN EL AMBITO DE LA COOPERACION INTERNACIONAL;Noviembre;2008;UNIVERSIDAD POLITECNICA DE CATALUNA;
0001360609;1;Beca del Programa de COLCIENCIAS para Jóvenes Investigadores Virginia Gutiérrez de Pineda año 2011;Marzo;2011;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0001360609;2;BECA A ESTUDIANTES DE POSGRADO FACULTAD CIENCIAS ECONOMICAS U. NACIONAL DE COLOMBIA;Febrero;2011;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001360609;3;BECA A ESTUDIANTES DE POSGRADO FACULTAD CIENCIAS ECONOMICAS U. NACIONAL DE COLOMBIA;Febrero;2012;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0001360609;4;NOMINACIÓN PREMIO PORTAFOLIO A MEJOR ESTUDIANTE DEL AÑO 2012;Octubre;2012;DIARIO DE ECONOMIA Y NEGOCIOS PORTAFOLIO;
0001366116;1;Tesis Meritoria;Junio;2016;FUNDACION UNIVERSITARIA LOS LIBERTADORES;
0001366116;2;Reconocimiento a la excelencia académica;Junio;2015;FUNDACION UNIVERSITARIA LOS LIBERTADORES;
0001367464;1;Tesis de Doctorado Laureada por los jurados;Noviembre;2014;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0001367464;2;Media Beca para estudios de Educacion Secundaria;Febrero;1999;LICEO DE CERVANTES NORTE;
