Departamento;     Documento;     Nombres;     Apellidos;     Observaciones;     Otros Autores;     Vinculación_Otros_Autores;     Tipo_Producto;     Nombre_Producto_Asociado;    Evento;     Año_Inicio;     Mes_Inicio;     Fecha_Inicio;     Año_Fin;     Mes_Fin;     Fecha_Fin;     País;     Ciudad;     Ambito;     Financiación;     Instituciones;     Vinculación_Instituciones;     Observaciones
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Ponente magistral;Simposio;Corona Charged subnanosecond impulse generator;2009 20th International Zurich Symposium on Electromagnetic Compatibility;2009;01;2009-01-12;2010;01;2010-01-16;-;Zurich   - Zurich, Switzerland;Internacional;Sin Información;LA SOCIEDAD OPERADORA DE AEROPUERTOS CENTRO NORTE S.A., Servicio Sismologico Suizo - Eth;Patrocinador, Patrocinador;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Simposio;Comparison of The Breakdown Voltage of Two Insulating Columns Using The Simple Stress Method;VI International Symposium on Lightning Protection VI Sipda, Santos Brazil, 19 - 23 Nov 323 - 328.;2001;01;2001-01-01;-;-;-;-;Santos Brasil;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Comparación de la tensión disruptiva de dos columnas aislantes utilizando el método del esfuerzo simple;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;2001;01;2001-01-01;-;-;-;-;La Habana;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Caracterización de los varistores mediante una fuente de corriente de muy alta impedancia;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;2001;01;2001-01-01;-;-;-;-;La Habana;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Degradación de descargadores de sobretensión de óxido de metálico tipo distribución. Estudio de caso: Vereda el trigo, Cundinamarca, Colombia;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;2001;01;2001-01-01;-;-;-;-;La Habana;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Análisis de Sobretensiones y Energía Disipada en los Descargadores de Sobretensión en una Línea de Prueba Debido a Voltajes Inducidos por Descargas Subsecuentes del Rayo;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;2001;01;2001-01-01;-;-;-;-;La Habana;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Análisis Estadístico de Señales Inducidas por Descargas Subsecuentes del Rayo en una Línea de Prueba ubicada en La Palma, Cundinamarca, Colombia;ALTAE V jornadas latinoamericans y II iberoamericanas en Alta Tensión y Aislamiento eléctrico;2001;01;2001-01-01;-;-;-;-;La Habana;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Determinación del Voltaje Representativo en el Método del Esfuerzo Simple;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;1999;01;1999-01-01;-;-;-;-;MEDELLÍN;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Medición y Reglamentación sobre Exposición a los Campos Eléctricos y Magnéticos de Extra Baja Frecuencia en Subestaciones Eléctricas Colombianas;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;1999;01;1999-01-01;-;-;-;-;MEDELLÍN;;Sin Información;-;-;-
Departamento de Ingeniería de Sistemas e Industrial;123;Manuel;Embus;-;FRANCISCO JOSE ROMAN CAMPOS;Asistente;Otro;Modelamiento en Atp-Models de Varistores y Tubos de Gas como Elementos de Protección en Baja Tensión;ALTAE IV jornadas latinoamericans y I iberoamericanas en Alta Tensión y Aislamiento eléctrico;1999;01;1999-01-01;-;-;-;-;MEDELLÍN;;Sin Información;-;-;-
